Date,Ridership
9/28/2006,717000
9/29/2006,739000
9/30/2006,341000
10/1/2006,218000
10/2/2006,661000
10/3/2006,711000
10/4/2006,719000
10/5/2006,720000
10/6/2006,668000
10/7/2006,308000
10/8/2006,238000
10/9/2006,377000
10/10/2006,731000
10/11/2006,726000
10/12/2006,725000
10/13/2006,734000
10/14/2006,344000
10/15/2006,214000
10/16/2006,681000
10/17/2006,689000
10/18/2006,724000
10/19/2006,727000
10/20/2006,732000
10/21/2006,321000
10/22/2006,189000
10/23/2006,673000
10/24/2006,711000
10/25/2006,720000
10/26/2006,724000
10/27/2006,715000
10/28/2006,324000
10/29/2006,298000
10/30/2006,682000
10/31/2006,706000
11/1/2006,713000
11/2/2006,721000
11/3/2006,731000
11/4/2006,302000
11/5/2006,202000
11/6/2006,683000
11/7/2006,690000
11/8/2006,704000
11/9/2006,718000
11/10/2006,502000
11/11/2006,337000
11/12/2006,160000
11/13/2006,675000
11/14/2006,719000
11/15/2006,737000
11/16/2006,679000
11/17/2006,734000
11/18/2006,322000
11/19/2006,179000
11/20/2006,681000
11/21/2006,688000
11/22/2006,587000
11/23/2006,95000
11/24/2006,372000
11/25/2006,257000
11/26/2006,179000
11/27/2006,644000
11/28/2006,695000
11/29/2006,704000
11/30/2006,710000
12/1/2006,701000
12/2/2006,293000
12/3/2006,191000
12/4/2006,676000
12/5/2006,705000
12/6/2006,713000
12/7/2006,724000
12/8/2006,682000
12/9/2006,278000
12/10/2006,181000
12/11/2006,674000
12/12/2006,699000
12/13/2006,704000
12/14/2006,709000
12/15/2006,707000
12/16/2006,284000
12/17/2006,172000
12/18/2006,664000
12/19/2006,690000
12/20/2006,673000
12/21/2006,636000
12/22/2006,535000
12/23/2006,211000
12/24/2006,123000
12/25/2006,56000
12/26/2006,374000
12/27/2006,510000
12/28/2006,544000
12/29/2006,535000
12/30/2006,288000
12/31/2006,214000
1/1/2007,126000
1/2/2007,366000
1/3/2007,636000
1/4/2007,663000
1/5/2007,644000
1/6/2007,295000
1/7/2007,145000
1/8/2007,646000
1/9/2007,688000
1/10/2007,696000
1/11/2007,691000
1/12/2007,686000
1/13/2007,299000
1/14/2007,191000
1/15/2007,256000
1/16/2007,669000
1/17/2007,694000
1/18/2007,688000
1/19/2007,687000
1/20/2007,281000
1/21/2007,174000
1/22/2007,691000
1/23/2007,722000
1/24/2007,719000
1/25/2007,719000
1/26/2007,693000
1/27/2007,427000
1/28/2007,189000
1/29/2007,652000
1/30/2007,695000
1/31/2007,686000
2/1/2007,708000
2/2/2007,700000
2/3/2007,277000
2/4/2007,161000
2/5/2007,643000
2/6/2007,663000
2/7/2007,659000
2/8/2007,688000
2/9/2007,675000
2/10/2007,282000
2/11/2007,167000
2/12/2007,673000
2/13/2007,668000
2/14/2007,460000
2/15/2007,666000
2/16/2007,686000
2/17/2007,294000
2/18/2007,215000
2/19/2007,277000
2/20/2007,695000
2/21/2007,718000
2/22/2007,718000
2/23/2007,701000
2/24/2007,295000
2/25/2007,150000
2/26/2007,645000
2/27/2007,702000
2/28/2007,725000
3/1/2007,717000
3/2/2007,714000
3/3/2007,317000
3/4/2007,183000
3/5/2007,674000
3/6/2007,704000
3/7/2007,693000
3/8/2007,724000
3/9/2007,723000
3/10/2007,360000
3/11/2007,217000
3/12/2007,701000
3/13/2007,748000
3/14/2007,735000
3/15/2007,725000
3/16/2007,683000
3/17/2007,337000
3/18/2007,200000
3/19/2007,686000
3/20/2007,734000
3/21/2007,733000
3/22/2007,744000
3/23/2007,730000
3/24/2007,330000
3/25/2007,222000
3/26/2007,689000
3/27/2007,752000
3/28/2007,746000
3/29/2007,740000
3/30/2007,754000
3/31/2007,455000
4/1/2007,255000
4/2/2007,776000
4/3/2007,825000
4/4/2007,751000
4/5/2007,763000
4/6/2007,736000
4/7/2007,352000
4/8/2007,190000
4/9/2007,674000
4/10/2007,747000
4/11/2007,743000
4/12/2007,755000
4/13/2007,763000
4/14/2007,387000
4/15/2007,175000
4/16/2007,656000
4/17/2007,740000
4/18/2007,746000
4/19/2007,744000
4/20/2007,749000
4/21/2007,343000
4/22/2007,216000
4/23/2007,685000
4/24/2007,722000
4/25/2007,726000
4/26/2007,727000
4/27/2007,711000
4/28/2007,336000
4/29/2007,233000
4/30/2007,697000
5/1/2007,726000
5/2/2007,725000
5/3/2007,725000
5/4/2007,720000
5/5/2007,285000
5/6/2007,203000
5/7/2007,676000
5/8/2007,720000
5/9/2007,726000
5/10/2007,728000
5/11/2007,726000
5/12/2007,334000
5/13/2007,205000
5/14/2007,691000
5/15/2007,742000
5/16/2007,733000
5/17/2007,751000
5/18/2007,720000
5/19/2007,342000
5/20/2007,242000
5/21/2007,702000
5/22/2007,743000
5/23/2007,744000
5/24/2007,733000
5/25/2007,687000
5/26/2007,314000
5/27/2007,261000
5/28/2007,241000
5/29/2007,699000
5/30/2007,737000
5/31/2007,745000
6/1/2007,743000
6/2/2007,372000
6/3/2007,182000
6/4/2007,720000
6/5/2007,777000
6/6/2007,790000
6/7/2007,788000
6/8/2007,747000
6/9/2007,386000
6/10/2007,239000
6/11/2007,742000
6/12/2007,773000
6/13/2007,782000
6/14/2007,780000
6/15/2007,761000
6/16/2007,323000
6/17/2007,209000
6/18/2007,732000
6/19/2007,748000
6/20/2007,793000
6/21/2007,781000
6/22/2007,797000
6/23/2007,433000
6/24/2007,278000
6/25/2007,751000
6/26/2007,778000
6/27/2007,774000
6/28/2007,775000
6/29/2007,758000
6/30/2007,342000
7/1/2007,259000
7/2/2007,747000
7/3/2007,787000
7/4/2007,493000
7/5/2007,710000
7/6/2007,736000
7/7/2007,358000
7/8/2007,228000
7/9/2007,724000
7/10/2007,756000
7/11/2007,767000
7/12/2007,790000
7/13/2007,787000
7/14/2007,353000
7/15/2007,233000
7/16/2007,756000
7/17/2007,796000
7/18/2007,799000
7/19/2007,786000
7/20/2007,779000
7/21/2007,348000
7/22/2007,230000
7/23/2007,734000
7/24/2007,771000
7/25/2007,791000
7/26/2007,780000
7/27/2007,753000
7/28/2007,334000
7/29/2007,205000
7/30/2007,711000
7/31/2007,769000
8/1/2007,771000
8/2/2007,768000
8/3/2007,753000
8/4/2007,324000
8/5/2007,225000
8/6/2007,700000
8/7/2007,724000
8/8/2007,703000
8/9/2007,761000
8/10/2007,716000
8/11/2007,316000
8/12/2007,203000
8/13/2007,675000
8/14/2007,720000
8/15/2007,709000
8/16/2007,699000
8/17/2007,704000
8/18/2007,329000
8/19/2007,194000
8/20/2007,636000
8/21/2007,665000
8/22/2007,698000
8/23/2007,695000
8/24/2007,681000
8/25/2007,264000
8/26/2007,179000
8/27/2007,651000
8/28/2007,691000
8/29/2007,692000
8/30/2007,686000
8/31/2007,664000
9/1/2007,305000
9/2/2007,231000
9/3/2007,201000
9/4/2007,674000
9/5/2007,717000
9/6/2007,733000
9/7/2007,713000
9/8/2007,305000
9/9/2007,216000
9/10/2007,688000
9/11/2007,708000
9/12/2007,731000
9/13/2007,718000
9/14/2007,716000
9/15/2007,348000
9/16/2007,211000
9/17/2007,706000
9/18/2007,749000
9/19/2007,749000
9/20/2007,752000
9/21/2007,747000
9/22/2007,316000
9/23/2007,237000
9/24/2007,694000
9/25/2007,734000
9/26/2007,741000
9/27/2007,733000
9/28/2007,732000
9/29/2007,361000
9/30/2007,200000
10/1/2007,696000
10/2/2007,726000
10/3/2007,736000
10/4/2007,742000
10/5/2007,742000
10/6/2007,381000
10/7/2007,274000
10/8/2007,384000
10/9/2007,726000
10/10/2007,754000
10/11/2007,750000
10/12/2007,748000
10/13/2007,345000
10/14/2007,212000
10/15/2007,710000
10/16/2007,752000
10/17/2007,758000
10/18/2007,766000
10/19/2007,751000
10/20/2007,376000
10/21/2007,225000
10/22/2007,697000
10/23/2007,733000
10/24/2007,737000
10/25/2007,743000
10/26/2007,736000
10/27/2007,343000
10/28/2007,319000
10/29/2007,702000
10/30/2007,745000
10/31/2007,741000
11/1/2007,756000
11/2/2007,759000
11/3/2007,341000
11/4/2007,205000
11/5/2007,731000
11/6/2007,736000
11/7/2007,748000
11/8/2007,751000
11/9/2007,737000
11/10/2007,340000
11/11/2007,238000
11/12/2007,409000
11/13/2007,718000
11/14/2007,748000
11/15/2007,732000
11/16/2007,767000
11/17/2007,324000
11/18/2007,193000
11/19/2007,691000
11/20/2007,709000
11/21/2007,626000
11/22/2007,103000
11/23/2007,373000
11/24/2007,243000
11/25/2007,160000
11/26/2007,657000
11/27/2007,704000
11/28/2007,725000
11/29/2007,727000
11/30/2007,724000
12/1/2007,306000
12/2/2007,185000
12/3/2007,683000
12/4/2007,718000
12/5/2007,738000
12/6/2007,748000
12/7/2007,715000
12/8/2007,292000
12/9/2007,176000
12/10/2007,691000
12/11/2007,725000
12/12/2007,739000
12/13/2007,725000
12/14/2007,738000
12/15/2007,276000
12/16/2007,178000
12/17/2007,666000
12/18/2007,706000
12/19/2007,709000
12/20/2007,688000
12/21/2007,621000
12/22/2007,231000
12/23/2007,141000
12/24/2007,199000
12/25/2007,69000
12/26/2007,400000
12/27/2007,520000
12/28/2007,521000
12/29/2007,278000
12/30/2007,176000
12/31/2007,452000
1/1/2008,134000
1/2/2008,585000
1/3/2008,619000
1/4/2008,634000
1/5/2008,245000
1/6/2008,163000
1/7/2008,664000
1/8/2008,699000
1/9/2008,702000
1/10/2008,696000
1/11/2008,692000
1/12/2008,323000
1/13/2008,190000
1/14/2008,679000
1/15/2008,724000
1/16/2008,722000
1/17/2008,710000
1/18/2008,698000
1/19/2008,265000
1/20/2008,159000
1/21/2008,256000
1/22/2008,711000
1/23/2008,709000
1/24/2008,718000
1/25/2008,715000
1/26/2008,294000
1/27/2008,183000
1/28/2008,664000
1/29/2008,692000
1/30/2008,698000
1/31/2008,703000
2/1/2008,663000
2/2/2008,287000
2/3/2008,165000
2/4/2008,662000
2/5/2008,703000
2/6/2008,708000
2/7/2008,714000
2/8/2008,724000
2/9/2008,289000
2/10/2008,184000
2/11/2008,666000
2/12/2008,701000
2/13/2008,673000
2/14/2008,726000
2/15/2008,693000
2/16/2008,299000
2/17/2008,197000
2/18/2008,278000
2/19/2008,697000
2/20/2008,721000
2/21/2008,725000
2/22/2008,602000
2/23/2008,277000
2/24/2008,176000
2/25/2008,678000
2/26/2008,714000
2/27/2008,719000
2/28/2008,719000
2/29/2008,680000
3/1/2008,284000
3/2/2008,185000
3/3/2008,694000
3/4/2008,716000
3/5/2008,734000
3/6/2008,726000
3/7/2008,700000
3/8/2008,280000
3/9/2008,199000
3/10/2008,688000
3/11/2008,745000
3/12/2008,750000
3/13/2008,751000
3/14/2008,745000
3/15/2008,368000
3/16/2008,216000
3/17/2008,722000
